#Logger
1.0 16.0 1.0021685990882678
2.0 32.0 1.0000592129511008
3.0 48.0 0.9947642456503648
4.0 64.0 0.9955503563355237
5.0 80.0 0.9981731830245368
6.0 96.0 0.9934409305292655
7.0 112.0 0.9877701408144064
8.0 128.0 0.9883693678275455
9.0 144.0 0.9829212675573098
10.0 160.0 0.9824569139598233
11.0 176.0 0.980651380349662
12.0 192.0 0.9818122187079669
13.0 208.0 0.9877973595296452
14.0 224.0 0.9972527691249342
15.0 240.0 1.0042164848824353
16.0 256.0 1.0114589739888635
17.0 272.0 1.0154441359081419
