,0
0,1554.9600757476423
1,1573.0373474867638
2,1581.1403026333423
3,1556.809535770236
4,1588.3389204000334
5,1571.0461972832866
6,1568.5721859672192
7,1573.3317305794187
8,1565.5832971999855
9,1566.1387306393738
10,1565.1498819716066
11,1566.3140041084184
12,1575.9056552194777
13,1584.638106274487
14,1572.2352994166977
15,1577.66247271709
